Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis
 Current concepts in the diagnosis and treatment of typhoid fever.txt, Total Failure of Fenbendazole to Control Strongylid Infections in Czech Horse Operations.txt, confer nonselective cation uptake in Saccharomyces cerevisiae.txt
 SRC drives growth of antiestrogen resistant breast cancer cell lines and is a marker for reduced benefit of tamoxifen treatment.txt, Characterization of grlA, Design
 Activity of the heat shock protein 90 inhibitor ganetespib in melanoma.txt, grlB, molecular modelling and synthesis of novel benzothiazole derivatives as BCL-2 inhibitors.txt
 Y-688, gyrA, Taccalonolides  A Novel Class of Microtubule-Stabilizing Anticancer Agents.txt
 a new quinolone active against quinolone-resistant Staphylococcus aureus  lack of in vivo efficacy in experimental endocarditis.txt, and gyrB mutations in 116 unrelated isolates of Staphylococcus aureus and effects of mutations on ciprofloxacin MIC.txt, Interaction of 14-3-3 proteins with the estrogen receptor alpha F domain provides a drug target interface.txt
 Acquisition of a multidrug-resistant phenotype with a proteasome inhibitor in multiple myeloma.txt, Influence of ceftriaxone on emergence of Clostridium difficile.txt, Target engagement analysis and link to pharmacodynamic endpoint for a novel class of CNS-penetrant and efficacious p38α MAPK inhibitors.txt
 Role of MGMT in protecting against cyclophosphamide-induced toxicity in cells and animals.txt, Effect of a small molecule Lipid II binder on bacterial cell wall stress.txt, Drug resistance and physiological roles of RND multidrug efflux pumps in Salmonella enterica
 H19 in Serum Extracellular Vesicles Reflects Resistance to AR Axis-targeted Therapy Among CRPC Patients.txt, Risk factors for antimicrobial resistance among the Escherichia coli strains isolated from Korean patients with acute uncomplicated cystitis  a prospective and nationwide study.txt, Escherichia coli and Pseudomonas aeruginosa.txt
 Upregulation of miR-138 Increases Sensitivity to Cisplatin in Hepatocellular Carcinoma by Regulating EZH2.txt, The clinical characteristics, Orally efficacious lead of the AVG inhibitor series targeting a dynamic interface in the respiratory syncytial virus polymerase.txt
, carbapenem resistance,
, and outcome of Acinetobacter bacteremia according to genospecies.txt,
, Salvage chemotherapy with irinotecan,
, 5-fluorouracil and leucovorin for taxane- and cisplatin-refractory,
, metastatic gastric cancer.txt,
'New small-molecule drug design strategies for fighting resistant influenza A.txt','The effect of recombinant human growth hormone with or without rosiglitazone on hepatic fat content in HIV-1-infected individuals  a randomized clinical trial.txt','Glutathione content as a potential mediator of the vulnerability of cultured fetal cortical neurons to ethanol-induced apoptosis.txt'
 'Discovery of Novel HIV Protease Inhibitors Using Modern Computational Techniques.txt', 'Evaluation of TyG index and TG HDL-C ratio in HBeAg negative chronic hepatitis B infected patients.txt', 'Crystal structure of quinone reductase 2 in complex with resveratrol.txt'
 'Designing inhibitors of M2 proton channel against H1N1 swine influenza virus.txt', 'Effects of Vitamin D Supplementation on Cardiovascular and Glycemic Biomarkers.txt', 'Caveolin-1
 'Macrocyclic Inhibitors of HGF-Activating Serine Proteases Overcome Resistance to Receptor Tyrosine Kinase Inhibitors and Block Lung Cancer Progression.txt', 'Antibiotic susceptibility guided reuse of levofloxacin-based therapy in a penicillin-allergic patient for Helicobacter pylori infection  A case report.txt', a stress-related oncotarget
 'Targeted therapy for Kaposi's sarcoma and Kaposi's sarcoma-associated herpesvirus.txt', 'A prospective, in drug resistance.txt'
 'Extracts of the Medicinal Plants Pao Pereira and Rauwolfia vomitoria Inhibit Ovarian Cancer Stem Cells In Vitro.txt', randomized double-blind, 'Role of murE in the Expression of beta-lactam antibiotic resistance in Staphylococcus aureus.txt'
, placebo-controlled study of safety and efficacy of a high-concentration full-spectrum extract of ashwagandha root in reducing stress and anxiety in adults.txt', 'NOX4 Signaling Mediates Cancer Development and Therapeutic Resistance through HER3 in Ovarian Cancer Cells.txt'
,, 'Low expression of the E3 ubiquitin ligase CBL confers chemoresistance in human pancreatic cancer and is targeted by epidermal growth factor receptor inhibition.txt'
'In vitro and in vivo evaluation of 28DAP010,'The HCV Treatment Revolution Continues  Resistance Considerations,'Hyaluronan
 a novel diamidine for treatment of second-stage African sleeping sickness.txt', Pangenotypic Efficacy, CD44
 'Ciprofloxacin therapy of experimental endocarditis caused by methicillin-susceptible or methicillin-resistant Staphylococcus aureus.txt', and Advances in Challenging Populations.txt', and emmprin regulate lactate efflux and membrane localization of monocarboxylate transporters in human breast carcinoma cells.txt'
 'Protection against beta-amyloid peptide toxicity in vivo with long-term administration of ferulic acid.txt', 'Younger age, 'FTY720-induced human pulmonary endothelial barrier enhancement is mediated by c-Abl.txt'
 'Vancomycin or vancomycin plus netilmicin for methicillin- and gentamicin-resistant Staphylococcus aureus aortic valve experimental endocarditis.txt', higher body mass index and lower adiponectin concentration predict higher serum thromboxane B2 level in aspirin-treated patients with type 2 diabetes  an observational study.txt', 'ILF2 Is a Regulator of RNA Splicing and DNA Damage Response in 1q21-Amplified Multiple Myeloma.txt'
 'High doses of cefotaxime in treatment of adult meningitis due to Streptococcus pneumoniae with decreased susceptibilities to broad-spectrum cephalosporins.txt', 'Long-term mortality assessment of multidrug-resistant tuberculosis patients treated with delamanid.txt', 'The Profile of MicroRNA Expression and Potential Role in the Regulation of Drug-Resistant Genes in Doxorubicin and Topotecan Resistant Ovarian Cancer Cell Lines.txt'
 'In vitro antifungal activity of MMV Pathogen Box® compounds alone or in combination with antifungal drugs against mucormycosis agents.txt', 'Effect of mTOR inhibitors in nude mice with endometrial carcinoma and variable PTEN expression status.txt', 'KCNQ1OT1 polymorphism rs35622507 and methylation status of KCNQ1OT1 promoter influence the drug resistance to L-OHP.txt'
 'Dual Targeting of PDGFRα and FGFR1 Displays Synergistic Efficacy in Malignant Rhabdoid Tumors.txt', 'Monitoring the emergence of HBV resistance mutations by HBV-RNA pyrosequencing.txt', 'Emergence of FGFR3-TACC3 fusions as a potential by-pass resistance mechanism to EGFR tyrosine kinase inhibitors in EGFR mutated NSCLC patients.txt'
 'Palazestrant (OP-1250), 'Importance of serum concentration of adefovir for Lamivudine-adefovir combination therapy in patients with lamivudine-resistant chronic hepatitis B.txt', 'Characterization of OXA-25
 A Complete Estrogen Receptor Antagonist, 'Synergistic Activity of Colistin in Combination with Clofoctol against Colistin Resistant Gram-Negative Pathogens.txt', OXA-26
 Inhibits Wild-type and Mutant ER-positive Breast Cancer Models as Monotherapy and in Combination.txt',, and OXA-27
,, molecular class D beta-lactamases associated with carbapenem resistance in clinical isolates of Acinetobacter baumannii.txt'
'New Horizons in the development of antiepileptic drugs  Innovative strategies.txt','Multidrug-resistant tuberculosis around the world  what progress has been made.txt','Spermine synthase overexpression in vivo does not increase susceptibility to DMBA TPA skin carcinogenesis or Min-Apc intestinal tumorigenesis.txt'
 'Incorporating CDK4 6 Inhibitors in the Treatment of Advanced Luminal Breast Cancer.txt', 'Methicillin-Resistant Staphylococcus aureus Biofilms and Their Influence on Bacterial Adhesion and Cohesion.txt', 'Regulation of sphingolipid synthesis by the G1 S transcription factor Swi4.txt'
 'Targeting glutamine metabolism in multiple myeloma enhances BIM binding to BCL-2 eliciting synthetic lethality to venetoclax.txt', 'Tetracycline resistance and tetM in pathogenic urogenital bacteria.txt', '2-aminoimidazoles potentiate ß-lactam antimicrobial activity against Mycobacterium tuberculosis by reducing ß-lactamase secretion and increasing cell envelope permeability.txt'
 'Optimization of 2, 'Epidemiology, 'MicroRNA-340-5p modulates cisplatin resistance by targeting LPAATbeta in osteosarcoma.txt'
3-Dihydroquinazolinone-3-carboxamides as Antimalarials Targeting PfATP4.txt', risk factors, 'Structures and transport dynamics of a Campylobacter jejuni multidrug efflux pump.txt'
 'Combination of Irinotecan and Melatonin with the Natural Compounds Wogonin and Celastrol for Colon Cancer Treatment.txt', and prediction score of carbapenem resistance among inpatients colonized or infected with 3rd generation cephalosporin resistant Enterobacterales.txt', 'Outer membrane protein a of Salmonella enterica serovar Typhimurium activates dendritic cells and enhances Th1 polarization.txt'
 'Regression of prostate tumors upon combination of hormone ablation therapy and celecoxib in vivo.txt', 'The effect of nine common polymorphisms in coagulation factor genes (F2, 'Metabolic Pathways of Leishmania Parasite  Source of Pertinent Drug Targets and Potent Drug Candidates.txt'
 'Bispecific T-Cell Engaging Antibodies Against MUC16 Demonstrate Efficacy Against Ovarian Cancer in Monotherapy and in Combination With PD-1 and VEGF Inhibition.txt', F5, 'Recent Advances in Covalent Drug Discovery.txt'
, F7,
, F12 and F13 ) on the effectiveness of statins  the GenHAT study.txt',
, 'Moxifloxacin resistance in the F15 LAM4 KZN extensively drug-resistant strain of Mycobacterium tuberculosis.txt',
, 'Chloroxine overrides DNA damage tolerance to restore platinum sensitivity in high-grade serous ovarian cancer.txt',
, 'Tankyrase Inhibitor Sensitizes Lung Cancer Cells to Endothelial Growth Factor Receptor (EGFR) Inhibition via Stabilizing Angiomotins and Inhibiting YAP Signaling.txt',
'The future of HIV treatment.txt','Use of oral tetracyclines in the treatment of adult outpatients with skin and skin structure infections  Focus on doxycycline,'Galectin-1 overexpression induces normal fibroblasts translate into cancer-associated fibroblasts and attenuates the sensitivity of anlotinib in lung cancer.txt'
 'Canagliflozin Attenuates Hepatic Steatosis and Atherosclerosis Progression in Western Diet-Fed ApoE-Knockout Mice.txt', minocycline, 'Molecular pathways  regulation and therapeutic implications of multidrug resistance.txt'
 'Inhibition of the Receptor Tyrosine Kinase AXL Restores Paclitaxel Chemosensitivity in Uterine Serous Cancer.txt', and omadacycline.txt', 'Klebicin E
 'Leptin ameliorates insulin resistance and hepatic steatosis in Agpat2 lipodystrophic mice independent of hepatocyte leptin receptors.txt', 'The RADAR study  week 48 safety and efficacy of RAltegravir combined with boosted DARunavir compared to tenofovir emtricitabine combined with boosted darunavir in antiretroviral-naive patients.txt', a pore-forming bacteriocin of Klebsiella pneumoniae
 'Cuprous oxide nanoparticles inhibit prostate cancer by attenuating the stemness of cancer cells via inhibition of the Wnt signaling pathway.txt', 'Dalbavancin in the treatment of complicated skin and soft-tissue infections  a review.txt', exploits the porin OmpC and the Ton system for translocation.txt'
 'Anticancer Effects of Paris Saponins by Apoptosis and PI3K AKT Pathway in Gefitinib-Resistant Non-Small Cell Lung Cancer.txt', 'Dasatinib in imatinib-resistant or imatinib-intolerant chronic myeloid leukemia in blast phase after 2 years of follow-up in a phase 3 study  efficacy and tolerability of 140 milligrams once daily and 70 milligrams twice daily.txt', 'Abdominal candidiasis is a hidden reservoir of echinocandin resistance.txt'
 'The combination of alisporivir plus an NS5A inhibitor provides additive to synergistic anti-hepatitis C virus activity without detectable cross-resistance.txt', 'The role of moxifloxacin in tuberculosis therapy.txt', 'Inhibition of the Receptor Tyrosine Kinase AXL Restores Paclitaxel Chemosensitivity in Uterine Serous Cancer.txt'
