Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis,Drug Disease Matching_Closest,Drug Effectiveness Assessment_Closest,Drug Target Analysis_Closest
 'The bone ecosystem facilitates multiple myeloma relapse and the evolution of heterogeneous drug resistant disease.txt', 'In Vitro Anticancer Activity and in Vivo Biodistribution of Rhenium(I) Tricarbonyl Aqua Complexes.txt', 'Latency,The bone ecosystem facilitates multiple myeloma relapse and the evolution of heterogeneous drug resistant disease.txt,In Vitro Anticancer Activity and in Vivo Biodistribution of Rhenium(I) Tricarbonyl Aqua Complexes.txt,HIV latency.txt
 'Genetic markers for western corn rootworm resistance to Bt toxin.txt', 'Exogenous HGF Bypasses the Effects of ErbB Inhibition on Tumor Cell Viability in Medulloblastoma Cell Lines.txt', thermal stability,Genetic markers for western corn rootworm resistance to Bt toxin.txt,Exogenous HGF Bypasses the Effects of ErbB Inhibition on Tumor Cell Viability in Medulloblastoma Cell Lines.txt,Stability of P.txt
 'A novel role for BDNF-TrkB in the regulation of chemotherapy resistance in head and neck squamous cell carcinoma.txt', 'Antigenic modulation and rituximab resistance.txt', and identification of an inhibitory compound of mirolysin,A novel role for BDNF-TrkB in the regulation of chemotherapy resistance in head and neck squamous cell carcinoma.txt,Antigenic modulation and rituximab resistance.txt,Identification of novel inhibitors of M.txt
 'BRAF-Mutated Advanced Colorectal Cancer  A Rapidly Changing Therapeutic Landscape.txt', 'Genome-wide CRISPR screening reveals ADCK3 as a key regulator in sensitizing endometrial carcinoma cells to MPA therapy.txt', a secretory protease of the human periodontopathogen Tannerella forsythia.txt',BRAF-Mutated Advanced Colorectal Cancer  A Rapidly Changing Therapeutic Landscape.txt,Genome-wide CRISPR screening reveals ADCK3 as a key regulator in sensitizing endometrial carcinoma cells to MPA therapy.txt,"Latency, thermal stability, and identification of an inhibitory compound of mirolysin, a secretory protease of the human periodontopathogen Tannerella forsythia.txt"
 'The hepatitis C virus (HCV) NS4B RNA binding inhibitor clemizole is highly synergistic with HCV protease inhibitors.txt', 'Riociguat for the treatment of pulmonary arterial hypertension associated with connective tissue disease  results from PATENT-1 and PATENT-2.txt', '8-Hydroxyquinoline-Amino Acid Hybrids and Their Half-Sandwich Rh and Ru Complexes  Synthesis,The hepatitis C virus (HCV) NS4B RNA binding inhibitor clemizole is highly synergistic with HCV protease inhibitors.txt,Riociguat for the treatment of pulmonary arterial hypertension associated with connective tissue disease  results from PATENT-1 and PATENT-2.txt,"8-Hydroxyquinoline-Amino Acid Hybrids and Their Half-Sandwich Rh and Ru Complexes  Synthesis, Anticancer Activities, Solution Chemistry and Interaction with Biomolecules.txt"
 'Targeting of Deregulated Wnt β-Catenin Signaling by PRI-724 and LGK974 Inhibitors in Germ Cell Tumor Cell Lines.txt', 'Phase II clinical trial of ex vivo-expanded cytokine-induced killer cells therapy in advanced pancreatic cancer.txt', Anticancer Activities,Targeting of Deregulated Wnt β-Catenin Signaling by PRI-724 and LGK974 Inhibitors in Germ Cell Tumor Cell Lines.txt,Phase II clinical trial of ex vivo-expanded cytokine-induced killer cells therapy in advanced pancreatic cancer.txt,Lnc2Cancer 3.txt
 'Plant-Derived Chinese Medicine Monomers on Ovarian Cancer via the Wnt β-Catenin Signaling Pathway  Review of Mechanisms and Prospects.txt', 'Effect of food on the pharmacokinetic characteristics of a single oral dose of LCB01-0371, Solution Chemistry and Interaction with Biomolecules.txt',Plant-Derived Chinese Medicine Monomers on Ovarian Cancer via the Wnt β-Catenin Signaling Pathway  Review of Mechanisms and Prospects.txt,"Effect of food on the pharmacokinetic characteristics of a single oral dose of LCB01-0371, a novel oxazolidinone antibiotic.txt",Cell Chromatography  Biocompatible Chromatographic Separation and Interrogation of Microbial Cells.txt
 'Type 2 diabetes as a disease of ectopic fat.txt', a novel oxazolidinone antibiotic.txt', 'Ginkgolic acid inhibits HIV protease activity and HIV infection in vitro.txt',Type 2 diabetes as a disease of ectopic fat.txt,The polyene macrolide antibiotics.txt,Ginkgolic acid inhibits HIV protease activity and HIV infection in vitro.txt
 'Activity of EGFR-tyrosine kinase and ALK inhibitors for EML4-ALK-rearranged non-small-cell lung cancer harbored coexisting EGFR mutation.txt', 'Combination therapy with polymyxin B and netropsin against clinical isolates of multidrug-resistant Acinetobacter baumannii.txt', 'A Molecular Perspective on Colistin and Klebsiella pneumoniae  Mode of Action,Activity of EGFR-tyrosine kinase and ALK inhibitors for EML4-ALK-rearranged non-small-cell lung cancer harbored coexisting EGFR mutation.txt,Combination therapy with polymyxin B and netropsin against clinical isolates of multidrug-resistant Acinetobacter baumannii.txt,"A Molecular Perspective on Colistin and Klebsiella pneumoniae  Mode of Action, Resistance Genetics, and Phenotypic Susceptibility.txt"
'Fusicoccin,'Cephaloridine treatment of gonorrhoea in the female.txt','Caspase-mediated Bak activation and cytochrome c release during intrinsic apoptotic cell death in Jurkat cells.txt',Fosfomycin.txt,Cephaloridine treatment of gonorrhoea in the female.txt,Caspase-mediated Bak activation and cytochrome c release during intrinsic apoptotic cell death in Jurkat cells.txt
 14-3-3 proteins, 'Evaluation of treatment with two weeks of doxycycline on macrolide-resistant strains of Mycoplasma genitalium  a retrospective observational study.txt', 'Molecular mechanisms of in vitro betulin-induced apoptosis of Leishmania donovani.txt',Therapeutic proteins.txt,Evaluation of treatment with two weeks of doxycycline on macrolide-resistant strains of Mycoplasma genitalium  a retrospective observational study.txt,Molecular mechanisms of in vitro betulin-induced apoptosis of Leishmania donovani.txt
 and defense responses in tomato plants.txt', 'Long-term use of lenalidomide and low-dose dexamethasone in Chinese patients with relapsed refractory multiple myeloma  MM-024 Extended Access Program.txt', 'PKA inhibition kills L-asparaginase-resistant leukemic cells from relapsed acute lymphoblastic leukemia patients.txt',"Fusicoccin, 14-3-3 proteins, and defense responses in tomato plants.txt",Long-term use of lenalidomide and low-dose dexamethasone in Chinese patients with relapsed refractory multiple myeloma  MM-024 Extended Access Program.txt,PKA inhibition kills L-asparaginase-resistant leukemic cells from relapsed acute lymphoblastic leukemia patients.txt
 'Omega 3 fatty acids chemosensitize multidrug resistant colon cancer cells by down-regulating cholesterol synthesis and altering detergent resistant membranes composition.txt', 'Letermovir Rescue Therapy in Kidney Transplant Recipients with Refractory Resistant CMV Disease.txt', 'Quantitative proteomics profiling reveals activation of mTOR pathway in trastuzumab resistance.txt',Omega 3 fatty acids chemosensitize multidrug resistant colon cancer cells by down-regulating cholesterol synthesis and altering detergent resistant membranes composition.txt,Letermovir Rescue Therapy in Kidney Transplant Recipients with Refractory Resistant CMV Disease.txt,Quantitative proteomics profiling reveals activation of mTOR pathway in trastuzumab resistance.txt
 'Enhancing Anti-Tumorigenic Efficacy of Eugenol in Human Colon Cancer Cells Using Enzyme-Responsive Nanoparticles.txt', 'Comparison of daptomycin, 'Expression of dynein,Enhancing Anti-Tumorigenic Efficacy of Eugenol in Human Colon Cancer Cells Using Enzyme-Responsive Nanoparticles.txt,Comparison of M.txt,Expression of the E.txt
 'Anticancer Activity of Lesbicoumestan in Jurkat Cells via Inhibition of Oxidative Stress-Mediated Apoptosis and MALT1 Protease.txt', vancomycin, cytoplasmic 2,Anticancer Activity of Lesbicoumestan in Jurkat Cells via Inhibition of Oxidative Stress-Mediated Apoptosis and MALT1 Protease.txt,Capreomycin.txt,Antineoplastic agents.txt
 'A Novel Approach of Antiviral Drugs Targeting Viral Genomes.txt', and ampicillin-gentamicin for treatment of experimental endocarditis caused by penicillin-resistant enterococci.txt', heavy chain 1 (DHC2) associated with glioblastoma cell resistance to temozolomide.txt',A Novel Approach of Antiviral Drugs Targeting Viral Genomes.txt,"Comparison of daptomycin, vancomycin, and ampicillin-gentamicin for treatment of experimental endocarditis caused by penicillin-resistant enterococci.txt","Expression of dynein, cytoplasmic 2, heavy chain 1 (DHC2) associated with glioblastoma cell resistance to temozolomide.txt"
 'Inhibition of smooth muscle myosin as a novel therapeutic target for hypertension.txt', 'Real-world results of ibrutinib in patients with relapsed or refractory chronic lymphocytic leukemia  data from 95 consecutive patients treated in a compassionate use program.txt', 'PRMT3-Mediated Arginine Methylation of METTL14 Promotes Malignant Progression and Treatment Resistance in Endometrial Carcinoma.txt',Inhibition of smooth muscle myosin as a novel therapeutic target for hypertension.txt,Real-world results of ibrutinib in patients with relapsed or refractory chronic lymphocytic leukemia  data from 95 consecutive patients treated in a compassionate use program.txt,PRMT3-Mediated Arginine Methylation of METTL14 Promotes Malignant Progression and Treatment Resistance in Endometrial Carcinoma.txt
'Biguanides enhance antifungal activity against Candida glabrata.txt','Transcriptomic profiles and 5-year results from the randomized CLL14 study of venetoclax plus obinutuzumab versus chlorambucil plus obinutuzumab in chronic lymphocytic leukemia.txt','METTL3 promotes oxaliplatin resistance of gastric cancer CD133+ stem cells by promoting PARP1 mRNA stability.txt',Biguanides enhance antifungal activity against Candida glabrata.txt,Transcriptomic profiles and 5-year results from the randomized CLL14 study of venetoclax plus obinutuzumab versus chlorambucil plus obinutuzumab in chronic lymphocytic leukemia.txt,METTL3 promotes oxaliplatin resistance of gastric cancer CD133+ stem cells by promoting PARP1 mRNA stability.txt
 'Antiproliferative Copper(II) Complexes Bearing Mixed Chelating Ligands  Structural Characterization, 'Clinical efficacy of intravenous followed by oral azithromycin monotherapy in hospitalized patients with community-acquired pneumonia.txt', 'CRISPR Cas9-mediated inactivation of the phosphatase activity of soluble epoxide hydrolase prevents obesity and cardiac ischemic injury.txt',"Antiproliferative Copper(II) Complexes Bearing Mixed Chelating Ligands  Structural Characterization, ROS Scavenging, In Silico Studies, and Anti-Melanoma Activity.txt",Clinical efficacy of intravenous followed by oral azithromycin monotherapy in hospitalized patients with community-acquired pneumonia.txt,CRISPR Cas9-mediated inactivation of the phosphatase activity of soluble epoxide hydrolase prevents obesity and cardiac ischemic injury.txt
 ROS Scavenging, 'Efficacy of Artilysin Art-175 against Resistant and Persistent Acinetobacter baumannii.txt', 'Integrative analysis of cell adhesion molecules in glioblastoma identified prostaglandin F2 receptor inhibitor (PTGFRN) as an essential gene.txt',Screening for MRSA.txt,Efficacy of Artilysin Art-175 against Resistant and Persistent Acinetobacter baumannii.txt,Integrative analysis of cell adhesion molecules in glioblastoma identified prostaglandin F2 receptor inhibitor (PTGFRN) as an essential gene.txt
 In Silico Studies, 'IGF-1R inhibition sensitizes breast cancer cells to ATM-related kinase (ATR) inhibitor and cisplatin.txt', 'Sequence mutations of the substrate binding pocket of stem cell factor and multidrug resistance protein ABCG2 in renal cell cancer  a possible link to treatment resistance.txt',Antibiotic guidelines.txt,IGF-1R inhibition sensitizes breast cancer cells to ATM-related kinase (ATR) inhibitor and cisplatin.txt,Sequence mutations of the substrate binding pocket of stem cell factor and multidrug resistance protein ABCG2 in renal cell cancer  a possible link to treatment resistance.txt
 and Anti-Melanoma Activity.txt', 'Comparative in vitro activities of the novel antibacterial finafloxacin against selected Gram-positive and Gram-negative bacteria tested in Mueller-Hinton broth and synthetic urine.txt', 'Targeting the CXCL12 CXCR4 axis in acute myeloid leukemia  from bench to bedside.txt',Antimicrobial Peptides with Anti-Candida Activity.txt,Comparative in vitro activities of the novel antibacterial finafloxacin against selected Gram-positive and Gram-negative bacteria tested in Mueller-Hinton broth and synthetic urine.txt,Targeting the CXCL12 CXCR4 axis in acute myeloid leukemia  from bench to bedside.txt
